 Óbitos infantis - Brasil
Óbitos p/Residênc por Município
Período:2018
"Município";"Óbitos_p/Residênc"
"241140 Santana do Matos";2
"241142 Santana do Seridó";1
"241150 Santo Antônio";2
"241170 São Bento do Trairí";1
"241190 São Francisco do Oeste";1
"241200 São Gonçalo do Amarante";17
"241220 São José de Mipibu";9
"241230 São José do Campestre";2
"241250 São Miguel";7
"241255 São Miguel do Gostoso";1
"241260 São Paulo do Potengi";2
"241270 São Pedro";1
"241280 São Rafael";1
"241300 São Vicente";1
"241310 Senador Elói de Souza";1
"241320 Senador Georgino Avelino";4
"241335 Serra do Mel";1
"241350 Serrinha";1
"241355 Serrinha dos Pintos";1
"241360 Severiano Melo";2
"241370 Sítio Novo";1
"241380 Taboleiro Grande";2
"241390 Taipu";2
"241415 Tenente Laurentino Cruz";2
"241105 Tibau";2
"241420 Tibau do Sul";6
"241430 Timbaúba dos Batistas";1
"241440 Touros";12
"241450 Umarizal";1
"241460 Upanema";2
"241475 Venha-Ver";1
"241480 Vera Cruz";2
"241490 Viçosa";1
"250010 Água Branca";1
"250020 Aguiar";1
"250030 Alagoa Grande";5
"250040 Alagoa Nova";1
"250050 Alagoinha";4
"250053 Alcantil";2
"250060 Alhandra";3
"250077 Aparecida";2
"250080 Araçagi";2
"250090 Arara";1
"250100 Araruna";3
"250110 Areia";4
"250120 Areial";2
"250130 Aroeiras";5
"250135 Assunção";1
"250140 Baía da Traição";1
"250150 Bananeiras";4
"250153 Baraúna";1
"250160 Barra de Santa Rosa";2
"250157 Barra de Santana";3
"250170 Barra de São Miguel";2
"250180 Bayeux";18
"250190 Belém";3
"250200 Belém do Brejo do Cruz";3
"250210 Boa Ventura";3
"250215 Boa Vista";1
"250230 Bom Sucesso";2
"250240 Bonito de Santa Fé";3
"250250 Boqueirão";2
"250270 Borborema";1
"250280 Brejo do Cruz";1
"250300 Caaporã";2
"250320 Cabedelo";16
"250330 Cachoeira dos Índios";1
"250340 Cacimba de Areia";1
"250350 Cacimba de Dentro";1
"250355 Cacimbas";1
"250360 Caiçara";2
"250370 Cajazeiras";13
"250380 Caldas Brandão";1
"250400 Campina Grande";76
"250403 Capim";2
"250407 Caraúbas";2
"250410 Carrapateira";2
"250415 Casserengue";1
"250420 Catingueira";2
"250430 Catolé do Rocha";10
"250435 Caturité";1
"250440 Conceição";4
"250460 Conde";14
"250480 Coremas";4
"250485 Coxixola";1
"250490 Cruz do Espírito Santo";7
"250500 Cubati";3
"250510 Cuité";1
"250523 Cuité de Mamanguape";2
"250520 Cuitegi";1
"250535 Damião";1
"250540 Desterro";1
"250580 Duas Estradas";1
"250590 Emas";1
"250600 Esperança";4
"250610 Fagundes";2
"250625 Gado Bravo";3
"250630 Guarabira";9
"250640 Gurinhém";2
"250660 Ibiara";1
"250260 Igaracy";3
"250670 Imaculada";2
"250690 Itabaiana";2
"250700 Itaporanga";9
"250710 Itapororoca";2
"250720 Itatuba";1
"250730 Jacaraú";1
"250740 Jericó";1
"250750 João Pessoa";131
"250770 Juazeirinho";4
"250780 Junco do Seridó";1
"250790 Juripiranga";1
"250800 Juru";3
"250810 Lagoa";2
"250830 Lagoa Seca";5
"250850 Livramento";2
"250855 Logradouro";1
"250860 Lucena";2
"250870 Mãe d'Água";1
"250890 Mamanguape";10
"250900 Manaíra";3
"250905 Marcação";2
"250910 Mari";1
"250920 Massaranduba";4
"250930 Mataraca";5
"250939 Maturéia";1
"250940 Mogeiro";3
"250950 Montadas";2
"250970 Monteiro";17
"250980 Mulungu";2
"250990 Natuba";1
"251010 Nova Floresta";1
"251030 Nova Palmeira";2
"251040 Olho d'Água";1
"251050 Olivedos";1
"251080 Patos";10
"251110 Pedra Lavrada";1
"251120 Pedras de Fogo";5
"251272 Pedro Régis";1
"251130 Piancó";1
"251140 Picuí";4
"251150 Pilar";1
"251160 Pilões";2
"251170 Pilõezinhos";1
"251190 Pitimbu";1
"251200 Pocinhos";3
"251210 Pombal";4
"251220 Prata";1
"251230 Princesa Isabel";3
"251240 Puxinanã";3
"251250 Queimadas";11
"251260 Quixabá";1
"251270 Remígio";2
"251275 Riachão do Bacamarte";1
"251278 Riacho de Santo Antônio";1
"251280 Riacho dos Cavalos";6
"251290 Rio Tinto";1
"251300 Salgadinho";1
"251310 Salgado de São Félix";2
"251315 Santa Cecília";3
"251320 Santa Cruz";2
"251330 Santa Helena";1
"251340 Santa Luzia";2
"251370 Santa Rita";32
"251380 Santa Teresinha";3
"251360 Santana dos Garrotes";1
"251390 São Bento";6
"251398 São Francisco";1
"251400 São João do Cariri";4
"250070 São João do Rio do Peixe";1
"251420 São José da Lagoa Tapada";1
"251430 São José de Caiana";1
"251440 São José de Espinharas";2
"251450 São José de Piranhas";5
"251460 São José do Bonfim";1
"251465 São José do Brejo do Cruz";1
"251445 São José dos Ramos";1
"251500 São Miguel de Taipu";1
"251510 São Sebastião de Lagoa de Roça";3
"251540 São Vicente do Seridó";2
"251530 Sapé";7
"251550 Serra Branca";2
"251590 Serraria";1
"251593 Sertãozinho";1
"251597 Sobrado";1
"251600 Solânea";7
"251610 Soledade";1
"251615 Sossêgo";2
"251620 Sousa";5
"251630 Sumé";3
"251640 Tacima";1
"251650 Taperoá";5
"251660 Tavares";1
"251670 Teixeira";4
"251690 Uiraúna";2
"251700 Umbuzeiro";4
"251740 Zabelê";2
"260005 Abreu e Lima";17
"260010 Afogados da Ingazeira";6
"260020 Afrânio";7
"260030 Agrestina";6
"260040 Água Preta";5
"260050 Águas Belas";11
"260070 Aliança";6
"260080 Altinho";2
"260100 Angelim";3
"260105 Araçoiaba";2
"260110 Araripina";33
"260120 Arcoverde";16
"260130 Barra de Guabiraba";1
"260140 Barreiros";12
"260150 Belém de Maria";3
"260160 Belém do São Francisco";5
"260170 Belo Jardim";19
"260180 Betânia";3
"260190 Bezerros";9
"260200 Bodocó";12
"260210 Bom Conselho";11
"260220 Bom Jardim";8
"260230 Bonito";6
"260240 Brejão";2
"260260 Brejo da Madre de Deus";8
"260280 Buíque";18
"260290 Cabo de Santo Agostinho";33
"260300 Cabrobó";7
"260310 Cachoeirinha";3
"260320 Caetés";5
"260345 Camaragibe";23
"260350 Camocim de São Félix";2
"260370 Canhotinho";3
"260380 Capoeiras";2
"260390 Carnaíba";3
"260392 Carnaubeira da Penha";5
"260400 Carpina";15
"260410 Caruaru";64
"260415 Casinhas";1
"260420 Catende";9
"260430 Cedro";3
"260440 Chã de Alegria";3
"260450 Chã Grande";3
"260460 Condado";2
"260470 Correntes";4
"260480 Cortês";2
"260490 Cumaru";2
"260500 Cupira";3
"260510 Custódia";7
"260515 Dormentes";5
"260520 Escada";13
"260530 Exu";5
"260540 Feira Nova";4
"260560 Flores";3
"260570 Floresta";10
"260580 Frei Miguelinho";4
"260590 Gameleira";4
"260600 Garanhuns";32
"260610 Glória do Goitá";4
"260620 Goiana";14
"260630 Granito";1
"260640 Gravatá";11
"260650 Iati";5
"260660 Ibimirim";3
"260670 Ibirajuba";1
"260680 Igarassu";21
"260690 Iguaracy";1
"260760 Ilha de Itamaracá";5
"260700 Inajá";6
"260710 Ingazeira";1
"260720 Ipojuca";21
"260730 Ipubi";11
"260750 Itaíba";5
"260765 Itambé";4
"260770 Itapetim";1
"260775 Itapissuma";3
"260780 Itaquitinga";2
"260790 Jaboatão dos Guararapes";117
"260795 Jaqueira";2
"260800 Jataúba";3
"260805 Jatobá";6
"260810 João Alfredo";5
"260820 Joaquim Nabuco";3
"260825 Jucati";3
"260830 Jupi";7
"260840 Jurema";2
"260850 Lagoa de Itaenga";4
"260845 Lagoa do Carro";3
"260860 Lagoa do Ouro";3
"260870 Lagoa dos Gatos";1
"260875 Lagoa Grande";3
"260880 Lajedo";9
"260890 Limoeiro";11
"260900 Macaparana";2
"260910 Machados";3
"260915 Manari";7
"260920 Maraial";1
"260930 Mirandiba";2
"261430 Moreilândia";2
"260940 Moreno";9
"260950 Nazaré da Mata";4
"260960 Olinda";59
"260970 Orobó";5
"260980 Orocó";2
"260990 Ouricuri";13
"261000 Palmares";9
"261010 Palmeirina";2
"261020 Panelas";3
"261030 Paranatama";2
"261040 Parnamirim";3
"261050 Passira";4
"261060 Paudalho";9
"261070 Paulista";61
"261080 Pedra";2
"261090 Pesqueira";16
"261100 Petrolândia";8
"261110 Petrolina";100
"261120 Poção";2
"261130 Pombos";5
"261140 Primavera";2
"261150 Quipapá";3
"261160 Recife";234
"261170 Riacho das Almas";4
"261180 Ribeirão";4
"261190 Rio Formoso";5
"261200 Sairé";5
"261210 Salgadinho";2
"261220 Salgueiro";19
"261230 Saloá";6
"261240 Sanharó";9
"261245 Santa Cruz";2
"261247 Santa Cruz da Baixa Verde";2
"261250 Santa Cruz do Capibaribe";19
"261255 Santa Filomena";2
"261260 Santa Maria da Boa Vista";11
"261270 Santa Maria do Cambucá";5
"261280 Santa Terezinha";2
"261290 São Benedito do Sul";1
"261300 São Bento do Una";10
"261310 São Caitano";9
"261320 São João";3
"261330 São Joaquim do Monte";3
"261340 São José da Coroa Grande";6
"261350 São José do Belmonte";7
"261360 São José do Egito";8
"261370 São Lourenço da Mata";14
"261380 São Vicente Ferrer";2
"261390 Serra Talhada";18
"261400 Serrita";3
"261410 Sertânia";4
"261420 Sirinhaém";6
"261450 Surubim";11
"261460 Tabira";3
"261470 Tacaimbó";5
"261480 Tacaratu";4
"261485 Tamandaré";9
"261500 Taquaritinga do Norte";9
"261510 Terezinha";2
"261530 Timbaúba";4
"261540 Toritama";15
"261550 Tracunhaém";2
"261560 Trindade";13
"261570 Triunfo";4
"261580 Tupanatinga";8
"261590 Tuparetama";2
"261600 Venturosa";5
"261610 Verdejante";1
"261618 Vertente do Lério";2
"261620 Vertentes";2
"261630 Vicência";5
"261640 Vitória de Santo Antão";22
"261650 Xexéu";2
"260000 Município ignorado - PE";2
"270010 Água Branca";5
"270020 Anadia";4
"270030 Arapiraca";64
"270040 Atalaia";8
"270050 Barra de Santo Antônio";6
"270060 Barra de São Miguel";1
"270070 Batalha";2
"270080 Belém";1
"270090 Belo Monte";1
"270100 Boca da Mata";1
"270110 Branquinha";2
"270120 Cacimbinhas";3
"270130 Cajueiro";7
"270135 Campestre";2
"270140 Campo Alegre";7
"270150 Campo Grande";1
"270160 Canapi";5
"270170 Capela";3
"270180 Carneiros";4
"270190 Chã Preta";2
"270210 Colônia Leopoldina";3
"270230 Coruripe";10
"270235 Craíbas";5
"270240 Delmiro Gouveia";10
"270250 Dois Riachos";4
"270260 Feira Grande";5
"270280 Flexeiras";3
"270290 Girau do Ponciano";4
"270300 Ibateguara";3
"270310 Igaci";7
"270320 Igreja Nova";1
"270330 Inhapi";6
"270340 Jacaré dos Homens";1
"270350 Jacuípe";1
"270360 Japaratinga";1
"270370 Jaramataia";2
"270375 Jequiá da Praia";2
"270380 Joaquim Gomes";1
"270400 Junqueiro";4
"270410 Lagoa da Canoa";5
"270420 Limoeiro de Anadia";6
"270430 Maceió";202
"270440 Major Isidoro";4
"270450 Maragogi";4
"270460 Maravilha";5
"270470 Marechal Deodoro";11
"270480 Maribondo";2
"270500 Mata Grande";6
"270510 Matriz de Camaragibe";5
"270520 Messias";4
"270540 Monteirópolis";1
"270550 Murici";3
"270560 Novo Lino";1
"270570 Olho d'Água das Flores";5
"270580 Olho d'Água do Casado";3
"270590 Olho d'Água Grande";3
"270600 Olivença";5
"270610 Ouro Branco";3
"270620 Palestina";2
"270630 Palmeira dos Índios";12
"270640 Pão de Açúcar";3
"270642 Pariconha";5
"270644 Paripueira";2
"270650 Passo de Camaragibe";3
"270660 Paulo Jacinto";1
"270670 Penedo";12
"270680 Piaçabuçu";2
"270690 Pilar";9
"270710 Piranhas";5
"270720 Poço das Trincheiras";4
"270730 Porto Calvo";1
"270740 Porto de Pedras";1
"270750 Porto Real do Colégio";1
"270770 Rio Largo";19
"270780 Roteiro";4
"270790 Santa Luzia do Norte";3
"270800 Santana do Ipanema";10
"270810 Santana do Mundaú";3
"270830 São José da Laje";3
"270840 São José da Tapera";7
"270850 São Luís do Quitunde";10
"270860 São Miguel dos Campos";13
"270880 São Sebastião";11
"270910 Taquarana";1
"270915 Teotônio Vilela";8
"270920 Traipu";5
"270930 União dos Palmares";14
"270940 Viçosa";3
"270000 Município ignorado - AL";1
"280010 Amparo de São Francisco";2
"280020 Aquidabã";3
"280030 Aracaju";170
"280050 Areia Branca";7
"280060 Barra dos Coqueiros";12
"280067 Boquim";2
"280070 Brejo Grande";2
"280100 Campo do Brito";6
"280110 Canhoba";2
"280120 Canindé de São Francisco";9
"280130 Capela";10
"280140 Carira";4
"280150 Carmópolis";4
"280160 Cedro de São João";1
"280170 Cristinápolis";7
"280200 Divina Pastora";1
"280210 Estância";14
"280220 Feira Nova";3
"280230 Frei Paulo";4
"280240 Gararu";5
"280250 General Maynard";1
"280260 Gracho Cardoso";1
"280270 Ilha das Flores";3
"280280 Indiaroba";6
"280290 Itabaiana";21
"280300 Itabaianinha";7
"280310 Itabi";2
"280320 Itaporanga d'Ajuda";12
"280330 Japaratuba";2
"280340 Japoatã";2
"280350 Lagarto";19
"280360 Laranjeiras";5
"280370 Macambira";4
"280380 Malhada dos Bois";2
"280390 Malhador";2
"280400 Maruim";2
"280410 Moita Bonita";1
"280420 Monte Alegre de Sergipe";5
"280430 Muribeca";2
"280440 Neópolis";4
"280445 Nossa Senhora Aparecida";2
"280450 Nossa Senhora da Glória";5
"280460 Nossa Senhora das Dores";2
"280480 Nossa Senhora do Socorro";69
"280490 Pacatuba";1
"280510 Pedrinhas";4
"280520 Pinhão";2
"280530 Pirambu";1
"280540 Poço Redondo";8
"280550 Poço Verde";5
"280560 Porto da Folha";5
"280570 Propriá";10
"280580 Riachão do Dantas";1
"280590 Riachuelo";1
"280600 Ribeirópolis";2
"280610 Rosário do Catete";3
"280620 Salgado";3
"280630 Santa Luzia do Itanhy";3
"280640 Santana do São Francisco";3
"280660 Santo Amaro das Brotas";1
"280670 São Cristóvão";35
"280680 São Domingos";3
"280700 São Miguel do Aleixo";2
"280710 Simão Dias";5
"280720 Siriri";4
"280730 Telha";3
"280740 Tobias Barreto";13
"280750 Tomar do Geru";2
"280760 Umbaúba";7
"290010 Abaíra";3
"290020 Abaré";5
"290030 Acajutiba";7
"290035 Adustina";2
"290040 Água Fria";1
"290060 Aiquara";1
"290070 Alagoinhas";34
"290080 Alcobaça";5
"290100 Amargosa";8
"290110 Amélia Rodrigues";4
"290115 América Dourada";6
"290120 Anagé";3
"290130 Andaraí";5
"290135 Andorinha";6
"290140 Angical";4
"290150 Anguera";5
"290160 Antas";4
"290170 Antônio Cardoso";3
"290190 Aporá";8
"290205 Araças";2
"290200 Aracatu";2
"290210 Araci";16
"290220 Aramari";3
"290225 Arataca";2
"290230 Aratuípe";5
"290240 Aurelino Leal";6
"290250 Baianópolis";3
"290260 Baixa Grande";1
"290265 Banzaê";5
"290270 Barra";17
"290280 Barra da Estiva";3
"290290 Barra do Choça";11
"290300 Barra do Mendes";3
"290310 Barra do Rocha";1
"290320 Barreiras";33
"290323 Barro Alto";5
"290330 Barro Preto";4
"290327 Barrocas";6
"290340 Belmonte";1
"290350 Belo Campo";4
"290360 Biritinga";2
"290370 Boa Nova";4
"290390 Bom Jesus da Lapa";20
"290395 Bom Jesus da Serra";2
"290400 Boninal";2
"290405 Bonito";2
"290410 Boquira";5
"290420 Botuporã";3
"290430 Brejões";3
"290440 Brejolândia";2
"290450 Brotas de Macaúbas";5
"290460 Brumado";19
"290470 Buerarema";4
"290475 Buritirama";4
"290485 Cabaceiras do Paraguaçu";4
"290490 Cachoeira";6
"290500 Caculé";5
"290510 Caém";2
"290515 Caetanos";2
"290520 Caetité";13
"290530 Cafarnaum";7
"290540 Cairu";4
"290550 Caldeirão Grande";2
"290560 Camacan";3
"290570 Camaçari";77
"290580 Camamu";8
"290590 Campo Alegre de Lourdes";8
"290600 Campo Formoso";23
"290610 Canápolis";2
"290620 Canarana";12
"290630 Canavieiras";7
"290640 Candeal";2
"290650 Candeias";16
"290660 Candiba";3
"290670 Cândido Sales";4
"290680 Cansanção";12
"290682 Canudos";1
"290685 Capela do Alto Alegre";1
"290687 Capim Grosso";1
"290689 Caraíbas";1
"290690 Caravelas";3
"290710 Carinhanha";7
"290720 Casa Nova";16
"290730 Castro Alves";6
"290740 Catolândia";2
"290750 Catu";11
"290755 Caturama";2
"290760 Central";4
"290780 Cícero Dantas";7
"290790 Cipó";5
"290800 Coaraci";4
"290810 Cocos";2
"290820 Conceição da Feira";6
"290830 Conceição do Almeida";3
"290840 Conceição do Coité";15
"290850 Conceição do Jacuípe";3
"290860 Conde";3
"290890 Coração de Maria";4
"290920 Coronel João Sá";4
"290930 Correntina";5
"290940 Cotegipe";2
"290950 Cravolândia";3
"290960 Crisópolis";3
"290980 Cruz das Almas";8
"290990 Curaçá";9
"291000 Dário Meira";3
"291005 Dias d'Ávila";18
"291010 Dom Basílio";2
"291020 Dom Macedo Costa";1
"291040 Encruzilhada";4
"291050 Entre Rios";8
"290050 Érico Cardoso";3
"291060 Esplanada";5
"291070 Euclides da Cunha";13
"291072 Eunápolis";25
"291075 Fátima";4
"291077 Feira da Mata";1
"291080 Feira de Santana";147
"291085 Filadélfia";7
"291090 Firmino Alves";2
"291100 Floresta Azul";4
"291110 Formosa do Rio Preto";7
"291120 Gandu";5
"291125 Gavião";2
"291130 Gentio do Ouro";1
"291140 Glória";4
"291160 Governador Mangabeira";4
"291165 Guajeru";1
"291170 Guanambi";20
"291180 Guaratinga";2
"291185 Heliópolis";2
"291190 Iaçu";6
"291200 Ibiassucê";1
"291210 Ibicaraí";3
"291220 Ibicoara";9
"291230 Ibicuí";3
"291240 Ibipeba";2
"291250 Ibipitanga";3
"291270 Ibirapitanga";9
"291280 Ibirapuã";2
"291290 Ibirataia";5
"291300 Ibitiara";7
"291310 Ibititá";3
"291320 Ibotirama";6
"291330 Ichu";1
"291340 Igaporã";1
"291345 Igrapiúna";1
"291350 Iguaí";3
"291360 Ilhéus";44
"291370 Inhambupe";5
"291380 Ipecaetá";1
"291390 Ipiaú";7
"291400 Ipirá";13
"291410 Ipupiara";3
"291420 Irajuba";2
"291430 Iramaia";1
"291440 Iraquara";6
"291450 Irará";3
"291460 Irecê";15
"291465 Itabela";6
"291470 Itaberaba";18
"291480 Itabuna";50
"291490 Itacaré";5
"291500 Itaeté";4
"291510 Itagi";2
"291520 Itagibá";2
"291530 Itagimirim";1
"291535 Itaguaçu da Bahia";3
"291540 Itaju do Colônia";1
"291550 Itajuípe";4
"291560 Itamaraju";19
"291570 Itamari";1
"291580 Itambé";6
"291600 Itanhém";1
"291610 Itaparica";2
"291620 Itapé";6
"291630 Itapebi";3
"291640 Itapetinga";23
"291650 Itapicuru";7
"291660 Itapitanga";4
"291680 Itarantim";4
"291685 Itatim";1
"291700 Itiúba";4
"291710 Itororó";2
"291720 Ituaçu";1
"291730 Ituberá";2
"291733 Iuiú";1
"291735 Jaborandi";2
"291740 Jacaraci";5
"291750 Jacobina";18
"291760 Jaguaquara";10
"291770 Jaguarari";6
"291780 Jaguaripe";2
"291790 Jandaíra";4
"291800 Jequié";31
"291810 Jeremoabo";11
"291820 Jiquiriçá";6
"291830 Jitaúna";4
"291835 João Dourado";4
"291840 Juazeiro";74
"291845 Jucuruçu";2
"291850 Jussara";8
"291855 Jussari";3
"291870 Lafaiete Coutinho";1
"291875 Lagoa Real";2
"291880 Laje";6
"291915 Lapão";10
"291920 Lauro de Freitas";36
"291930 Lençóis";3
"291940 Licínio de Almeida";1
"291950 Livramento de Nossa Senhora";7
"291955 Luís Eduardo Magalhães";26
"291970 Macarani";3
"291980 Macaúbas";11
"291990 Macururé";1
"291992 Madre de Deus";6
"291995 Maetinga";3
"292000 Maiquinique";2
"292010 Mairi";6
"292020 Malhada";2
"292040 Manoel Vitorino";5
"292045 Mansidão";2
"292050 Maracás";8
"292060 Maragogipe";5
"292070 Maraú";5
"292080 Marcionílio Souza";2
"292090 Mascote";4
"292100 Mata de São João";9
"292105 Matina";1
"292110 Medeiros Neto";3
"292120 Miguel Calmon";9
"292140 Mirangaba";4
"292145 Mirante";1
"292150 Monte Santo";14
"292160 Morpará";3
"292170 Morro do Chapéu";10
"292180 Mortugaba";4
"292190 Mucugê";3
"292200 Mucuri";6
"292205 Mulungu do Morro";3
"292210 Mundo Novo";2
"292220 Muniz Ferreira";3
"292225 Muquém de São Francisco";3
"292230 Muritiba";6
"292240 Mutuípe";3
"292250 Nazaré";5
"292260 Nilo Peçanha";3
"292265 Nordestina";5
"292270 Nova Canaã";3
"292273 Nova Fátima";1
"292280 Nova Itarana";2
"292285 Nova Redenção";2
"292290 Nova Soure";10
"292300 Nova Viçosa";7
"292303 Novo Horizonte";2
"292305 Novo Triunfo";1
"292310 Olindina";7
"292320 Oliveira dos Brejinhos";6
"292330 Ouriçangas";2
"292335 Ourolândia";4
"292350 Palmeiras";3
"292360 Paramirim";1
"292370 Paratinga";8
"292380 Paripiranga";5
"292400 Paulo Afonso";25
"292410 Pedrão";1
"292420 Pedro Alexandre";4
"292430 Piatã";4
"292440 Pilão Arcado";11
"292450 Pindaí";2
"292460 Pindobaçu";4
"292465 Pintadas";1
"292467 Piraí do Norte";2
"292470 Piripá";2
"292480 Piritiba";3
"292490 Planaltino";1
"292500 Planalto";8
"292510 Poções";5
"292520 Pojuca";9
"292525 Ponto Novo";6
"292530 Porto Seguro";42
"292540 Potiraguá";3
"292550 Prado";8
"292560 Presidente Dutra";5
"292570 Presidente Jânio Quadros";2
"292575 Presidente Tancredo Neves";4
"292580 Queimadas";2
"292590 Quijingue";3
"292593 Quixabeira";1
"292595 Rafael Jambeiro";2
"292600 Remanso";13
"292610 Retirolândia";2
"292620 Riachão das Neves";3
"292630 Riachão do Jacuípe";5
"292640 Riacho de Santana";3
"292650 Ribeira do Amparo";2
"292660 Ribeira do Pombal";12
"292665 Ribeirão do Largo";2
"292670 Rio de Contas";1
"292680 Rio do Antônio";1
"292690 Rio do Pires";1
"292700 Rio Real";5
"292710 Rodelas";4
"292720 Ruy Barbosa";10
"292730 Salinas da Margarida";6
"292740 Salvador";548
"292750 Santa Bárbara";2
"292760 Santa Brígida";4
"292770 Santa Cruz Cabrália";7
"292790 Santa Inês";4
"292805 Santa Luzia";4
"292810 Santa Maria da Vitória";5
"292840 Santa Rita de Cássia";9
"292850 Santa Teresinha";3
"292800 Santaluz";7
"292820 Santana";1
"292830 Santanópolis";1
"292860 Santo Amaro";6
"292870 Santo Antônio de Jesus";25
"292880 Santo Estêvão";3
"292890 São Desidério";12
"292895 São Domingos";2
"292910 São Felipe";4
"292900 São Félix";3
"292905 São Félix do Coribe";2
"292920 São Francisco do Conde";10
"292925 São Gabriel";3
"292930 São Gonçalo dos Campos";6
"292935 São José da Vitória";3
"292937 São José do Jacuípe";3
"292940 São Miguel das Matas";1
"292950 São Sebastião do Passé";10
"292960 Sapeaçu";4
"292970 Sátiro Dias";3
"292975 Saubara";2
"292980 Saúde";2
"292990 Seabra";13
"293000 Sebastião Laranjeiras";5
"293010 Senhor do Bonfim";19
"293020 Sento Sé";12
"293015 Serra do Ramalho";9
"293030 Serra Dourada";1
"293040 Serra Preta";2
"293050 Serrinha";22
"293060 Serrolândia";3
"293070 Simões Filho";32
"293075 Sítio do Mato";4
"293076 Sítio do Quinto";2
"293077 Sobradinho";3
"293080 Souto Soares";3
"293090 Tabocas do Brejo Velho";1
"293100 Tanhaçu";2
"293105 Tanque Novo";5
"293110 Tanquinho";1
"293120 Taperoá";4
"293130 Tapiramutá";3
"293135 Teixeira de Freitas";23
"293150 Teofilândia";3
"293160 Teolândia";1
"293170 Terra Nova";1
"293180 Tremedal";3
"293190 Tucano";11
"293200 Uauá";8
"293210 Ubaíra";2
"293220 Ubaitaba";4
"293230 Ubatã";1
"293240 Uibaí";5
"293245 Umburanas";5
"293250 Una";3
"293260 Urandi";2
"293270 Uruçuca";4
"293280 Utinga";3
"293290 Valença";27
"293300 Valente";2
"293305 Várzea da Roça";1
"293315 Várzea Nova";3
"293317 Varzedo";1
"293320 Vera Cruz";6
"293325 Vereda";2
"293330 Vitória da Conquista";60
"293340 Wagner";1
"293345 Wanderley";3
"293350 Wenceslau Guimarães";3
"293360 Xique-Xique";10
"290000 Município ignorado - BA";7
"310020 Abaeté";2
"310030 Abre Campo";1
"310040 Acaiaca";3
"310050 Açucena";1
"310080 Aguanil";1
"310090 Águas Formosas";3
"310100 Águas Vermelhas";1
"310110 Aimorés";3
"310130 Alagoa";1
"310140 Albertina";1
"310150 Além Paraíba";6
"310160 Alfenas";5
"310163 Alfredo Vasconcelos";3
"310170 Almenara";7
"310180 Alpercata";2
"310200 Alterosa";3
"315350 Alto Jequitibá";2
"310250 Amparo do Serra";1
"310260 Andradas";8
"310280 Andrelândia";1
"310285 Angelândia";1
"310290 Antônio Carlos";1
"310340 Araçuaí";6
"310350 Araguari";12
"310375 Araporã";1
"310400 Araxá";25
"310410 Arceburgo";2
"310420 Arcos";8
"310430 Areado";3
"310440 Argirita";1
"310450 Arinos";2
"310460 Astolfo Dutra";1
"310470 Ataléia";2
"310490 Baependi";4
"310510 Bambuí";3
"310530 Bandeira do Sul";1
"310540 Barão de Cocais";2
"310560 Barbacena";16
"310590 Barroso";2
"310600 Bela Vista de Minas";1
"310620 Belo Horizonte";294
"310630 Belo Oriente";4
"310640 Belo Vale";2
"310650 Berilo";1
"310660 Bertópolis";4
"310670 Betim";69
"310710 Boa Esperança";7
"310730 Bocaiúva";9
"310740 Bom Despacho";8
"310770 Bom Jesus do Amparo";2
"310780 Bom Jesus do Galho";1
"310790 Bom Repouso";1
"310800 Bom Sucesso";6
"310810 Bonfim";2
"310820 Bonfinópolis de Minas";1
"310840 Botelhos";1
"310855 Brasilândia de Minas";2
"310860 Brasília de Minas";3
"310890 Brazópolis";1
"310900 Brumadinho";2
"310920 Buenópolis";3
"310930 Buritis";2
"310940 Buritizeiro";7
"310945 Cabeceira Grande";1
"310950 Cabo Verde";2
"310960 Cachoeira da Prata";1
"310270 Cachoeira de Pajeú";2
"310990 Caetanópolis";2
"311000 Caeté";5
"311010 Caiana";1
"311020 Cajuri";1
"311040 Camacho";1
"311050 Camanducaia";4
"311080 Campanário";1
"311090 Campanha";4
"311100 Campestre";2
"311110 Campina Verde";1
"311120 Campo Belo";5
"311130 Campo do Meio";1
"311140 Campo Florido";1
"311150 Campos Altos";5
"311160 Campos Gerais";2
"311180 Canápolis";1
"311205 Cantagalo";1
"311220 Capela Nova";1
"311230 Capelinha";4
"311240 Capetinga";1
"311260 Capinópolis";2
"311265 Capitão Andrade";1
"311270 Capitão Enéas";3
"311280 Capitólio";3
"311290 Caputira";2
"311300 Caraí";9
"311320 Carandaí";5
"311330 Carangola";5
"311340 Caratinga";16
"311370 Carlos Chagas";4
"311380 Carmésia";1
"311390 Carmo da Cachoeira";3
"311420 Carmo do Cajuru";1
"311430 Carmo do Paranaíba";3
"311440 Carmo do Rio Claro";5
"311450 Carmópolis de Minas";1
"311470 Carvalhópolis";1
"311510 Cássia";3
"311530 Cataguases";15
"311545 Catuji";1
"311550 Caxambu";1
"311570 Central de Minas";1
"311580 Centralina";1
"311600 Chalé";1
"311610 Chapada do Norte";4
"311615 Chapada Gaúcha";3
"311660 Cláudio";4
"311670 Coimbra";1
"311680 Coluna";1
"311690 Comendador Gomes";1
"311700 Comercinho";3
"311730 Conceição das Alagoas";6
"311740 Conceição de Ipanema";1
"311750 Conceição do Mato Dentro";4
"311760 Conceição do Pará";1
"311770 Conceição do Rio Verde";3
"311780 Conceição dos Ouros";2
"311800 Congonhas";9
"311820 Conquista";1
"311830 Conselheiro Lafaiete";16
"311840 Conselheiro Pena";1
"311860 Contagem";73
